epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_f1,val_loss,val_precision,val_recall
,0.001,0,,,,,,,
0,,24,,1.1620941162109375,,,,,
0,,49,,0.6646652221679688,,,,,
0,,52,,,0.699438214302063,0.6991565227508545,0.8491286635398865,0.7024391889572144,0.7518554925918579
0,,52,0.6074429750442505,,,,,,
,0.001,53,,,,,,,
1,,74,,0.8772878646850586,,,,,
1,,99,,0.7477054595947266,,,,,
1,,105,,,0.7752808928489685,0.7762417197227478,0.6207886338233948,0.7643085718154907,0.8021939992904663
1,,105,0.7545018196105957,,,,,,
,0.001,106,,,,,,,
2,,124,,0.533677339553833,,,,,
2,,149,,0.6795549392700195,,,,,
2,,158,,,0.7808988690376282,0.7809231877326965,0.6004578471183777,0.7699416279792786,0.8116801977157593
2,,158,0.7713085412979126,,,,,,
,0.001,159,,,,,,,
3,,174,,0.5811970233917236,,,,,
3,,199,,0.7303237915039062,,,,,
3,,211,,,0.7724719047546387,0.7786740064620972,0.5871308445930481,0.7764099836349487,0.8112190961837769
3,,211,0.7827130556106567,,,,,,
,0.001,212,,,,,,,
4,,224,,0.6096696853637695,,,,,
4,,249,,0.4911050796508789,,,,,
4,,264,,,0.8117977380752563,0.8150269389152527,0.5268540382385254,0.804210901260376,0.8380288481712341
4,,264,0.79111647605896,,,,,,
,0.001,265,,,,,,,
5,,274,,0.7603130340576172,,,,,
5,,299,,0.5005786418914795,,,,,
5,,317,,,0.8117977380752563,0.812141478061676,0.5106455683708191,0.8008724451065063,0.8349802494049072
5,,317,0.8241296410560608,,,,,,
,0.001,318,,,,,,,
6,,324,,0.5408859252929688,,,,,
6,,349,,0.5877249240875244,,,,,
6,,370,,,0.7865168452262878,0.7876359820365906,0.49327489733695984,0.7775780558586121,0.8110873103141785
6,,370,0.8157262802124023,,,,,,
,0.001,371,,,,,,,
7,,374,,0.4113130569458008,,,,,
7,,399,,0.46339845657348633,,,,,
7,,423,,,0.8202247023582458,0.8208604454994202,0.45035603642463684,0.8088971376419067,0.843247652053833
7,,423,0.8217287063598633,,,,,,
,0.001,424,,,,,,,
8,,424,,0.485805869102478,,,,,
8,,449,,0.5245070457458496,,,,,
8,,474,,0.3019115924835205,,,,,
8,,476,,,0.8033707737922668,0.8076833486557007,0.49305519461631775,0.7994595170021057,0.839044451713562
8,,476,0.8025209903717041,,,,,,
,0.001,477,,,,,,,
9,,499,,0.7031726837158203,,,,,
9,,524,,0.28685319423675537,,,,,
9,,529,,,0.8202247023582458,0.8210521936416626,0.4646618366241455,0.8105111122131348,0.8463255167007446
9,,529,0.8265306353569031,,,,,,
,0.001,530,,,,,,,
10,,549,,0.5441566705703735,,,,,
10,,574,,0.6875276565551758,,,,,
10,,582,,,0.8089887499809265,0.8102554082870483,0.4696713089942932,0.8007252216339111,0.8395915627479553
10,,582,0.831932783126831,,,,,,
,0.001,583,,,,,,,
11,,599,,0.44841229915618896,,,,,
11,,624,,0.42248106002807617,,,,,
11,,635,,,0.7865168452262878,0.7896715402603149,0.5000465512275696,0.7793419361114502,0.8208479881286621
11,,635,0.8175269961357117,,,,,,
,0.0001,636,,,,,,,
12,,649,,0.5155324935913086,,,,,
12,,674,,0.6479513645172119,,,,,
12,,688,,,0.8089887499809265,0.8104325532913208,0.4541313946247101,0.8003825545310974,0.8356719017028809
12,,688,0.8517407178878784,,,,,,
