epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_f1,val_loss,val_precision,val_recall
,0.001,0,,,,,,,
0,,24,,1.0398235321044922,,,,,
0,,49,,0.6900768280029297,,,,,
0,,52,,,0.7696629166603088,0.764419436454773,0.6465960144996643,0.7613958120346069,0.794563353061676
0,,52,0.6464585661888123,,,,,,
,0.001,53,,,,,,,
1,,74,,0.9372158050537109,,,,,
1,,99,,0.4986739158630371,,,,,
1,,105,,,0.817415714263916,0.8112363815307617,0.4770873785018921,0.8056503534317017,0.8209047317504883
1,,105,0.7941176295280457,,,,,,
,0.001,106,,,,,,,
2,,124,,0.5026702880859375,,,,,
2,,149,,0.5528335571289062,,,,,
2,,158,,,0.8314606547355652,0.8267322778701782,0.4600237309932709,0.822163999080658,0.8397746086120605
2,,158,0.8031212687492371,,,,,,
,0.001,159,,,,,,,
3,,174,,0.334531307220459,,,,,
3,,199,,0.32671576738357544,,,,,
3,,211,,,0.8033707737922668,0.7987802624702454,0.49057868123054504,0.7994434833526611,0.8220282793045044
3,,211,0.8175269961357117,,,,,,
,0.001,212,,,,,,,
4,,224,,0.5379467010498047,,,,,
4,,249,,0.48080500960350037,,,,,
4,,264,,,0.8202247023582458,0.816609263420105,0.47561803460121155,0.8122396469116211,0.8356078863143921
4,,264,0.8217287063598633,,,,,,
,0.001,265,,,,,,,
5,,274,,0.883803129196167,,,,,
5,,299,,0.46651625633239746,,,,,
5,,317,,,0.8061797618865967,0.8019825220108032,0.48463764786720276,0.7956394553184509,0.815848708152771
5,,317,0.8409363627433777,,,,,,
,0.001,318,,,,,,,
6,,324,,0.5025763511657715,,,,,
6,,349,,0.5080819129943848,,,,,
6,,370,,,0.8286516666412354,0.8284539580345154,0.42932698130607605,0.824434220790863,0.8382100462913513
6,,370,0.8067227005958557,,,,,,
,0.001,371,,,,,,,
7,,374,,0.4418620467185974,,,,,
7,,399,,0.29790014028549194,,,,,
7,,423,,,0.8314606547355652,0.8285660743713379,0.43265366554260254,0.8209059834480286,0.843181848526001
7,,423,0.8307322859764099,,,,,,
,0.001,424,,,,,,,
8,,424,,0.4975600242614746,,,,,
8,,449,,0.34477877616882324,,,,,
8,,474,,0.1949746012687683,,,,,
8,,476,,,0.8202247023582458,0.8225985169410706,0.4663218855857849,0.8220442533493042,0.8425523638725281
8,,476,0.8349339962005615,,,,,,
,0.001,477,,,,,,,
9,,499,,0.5347928404808044,,,,,
9,,524,,0.3182932436466217,,,,,
9,,529,,,0.8117977380752563,0.8075000047683716,0.4598366916179657,0.7999496459960938,0.8254519701004028
9,,529,0.8361344337463379,,,,,,
,0.001,530,,,,,,,
10,,549,,0.41100162267684937,,,,,
10,,574,,0.5813589096069336,,,,,
10,,582,,,0.8258426785469055,0.8266385793685913,0.4324592351913452,0.8190901875495911,0.8444828987121582
10,,582,0.8421368598937988,,,,,,
,0.0001,583,,,,,,,
11,,599,,0.4876890182495117,,,,,
11,,624,,0.4766540229320526,,,,,
11,,635,,,0.8258426785469055,0.8262101411819458,0.4290911555290222,0.8175819516181946,0.8428360223770142
11,,635,0.8421368598937988,,,,,,
,0.0001,636,,,,,,,
12,,649,,0.4773075580596924,,,,,
12,,674,,0.5512851476669312,,,,,
12,,688,,,0.8286516666412354,0.831600546836853,0.42813530564308167,0.8244179487228394,0.8481060862541199
12,,688,0.8541416525840759,,,,,,
,0.0001,689,,,,,,,
13,,699,,0.2977566421031952,,,,,
13,,724,,0.3600272834300995,,,,,
13,,741,,,0.8398876190185547,0.8364941477775574,0.4165073037147522,0.8312480449676514,0.8467940092086792
13,,741,0.8469387888908386,,,,,,
,0.0001,742,,,,,,,
14,,749,,0.35986536741256714,,,,,
14,,774,,0.37953782081604004,,,,,
14,,794,,,0.8258426785469055,0.8271884918212891,0.4343191087245941,0.8214883208274841,0.8462139964103699
14,,794,0.8523409366607666,,,,,,
,0.0001,795,,,,,,,
15,,799,,0.3597399592399597,,,,,
15,,824,,0.4693138599395752,,,,,
15,,847,,,0.8314606547355652,0.8340697288513184,0.4118797779083252,0.8302359580993652,0.8454545736312866
15,,847,0.860744297504425,,,,,,
,0.0001,848,,,,,,,
16,,849,,0.20114094018936157,,,,,
16,,874,,0.4656078815460205,,,,,
16,,899,,0.22665828466415405,,,,,
16,,900,,,0.8230336904525757,0.822084903717041,0.44236308336257935,0.8186701536178589,0.8388468027114868
16,,900,0.8571428656578064,,,,,,
,0.0001,901,,,,,,,
17,,924,,0.5040542483329773,,,,,
17,,949,,0.6403284072875977,,,,,
17,,953,,,0.834269642829895,0.8350195288658142,0.42035460472106934,0.8290335536003113,0.8529424071311951
17,,953,0.8415366411209106,,,,,,
,0.0001,954,,,,,,,
18,,974,,0.2290963977575302,,,,,
18,,999,,0.4100855886936188,,,,,
18,,1006,,,0.8286516666412354,0.8274433612823486,0.4239380955696106,0.8219248056411743,0.8462945222854614
18,,1006,0.8757503032684326,,,,,,
,0.0001,1007,,,,,,,
19,,1024,,0.6539204120635986,,,,,
19,,1049,,0.4029378890991211,,,,,
19,,1059,,,0.8230336904525757,0.8237417936325073,0.4543357193470001,0.8190264701843262,0.8431781530380249
19,,1059,0.8355342149734497,,,,,,
,1e-05,1060,,,,,,,
20,,1074,,0.4257533848285675,,,,,
20,,1099,,0.3681701719760895,,,,,
20,,1112,,,0.834269642829895,0.8333137035369873,0.41854673624038696,0.8260446786880493,0.8492387533187866
20,,1112,0.872148871421814,,,,,,
