epoch,lr-AdamW,step,train_acc,train_loss,val_acc,val_f1,val_loss,val_precision,val_recall
,0.001,0,,,,,,,
0,,24,,1.0556106567382812,,,,,
0,,49,,0.6918621063232422,,,,,
0,,52,,,0.7696629166603088,0.7641733884811401,0.6520382165908813,0.7609823942184448,0.7922906279563904
0,,52,0.6410564184188843,,,,,,
,0.001,53,,,,,,,
1,,74,,0.9204902648925781,,,,,
1,,99,,0.5073733329772949,,,,,
1,,105,,,0.8202247023582458,0.8139983415603638,0.48166459798812866,0.8087987303733826,0.8227986693382263
1,,105,0.79111647605896,,,,,,
,0.001,106,,,,,,,
2,,124,,0.49504518508911133,,,,,
2,,149,,0.5455713272094727,,,,,
2,,158,,,0.8286516666412354,0.8229713439941406,0.4616530239582062,0.8182150721549988,0.8360708951950073
2,,158,0.8115246295928955,,,,,,
,0.001,159,,,,,,,
3,,174,,0.34803593158721924,,,,,
3,,199,,0.33462440967559814,,,,,
3,,211,,,0.7977527976036072,0.7935120463371277,0.49096259474754333,0.7933377027511597,0.8165934681892395
3,,211,0.819327712059021,,,,,,
,0.001,212,,,,,,,
4,,224,,0.5362356901168823,,,,,
4,,249,,0.49906599521636963,,,,,
4,,264,,,0.817415714263916,0.8126825094223022,0.4750830829143524,0.8083952069282532,0.8319041728973389
4,,264,0.8187274932861328,,,,,,
,0.001,265,,,,,,,
5,,274,,0.9070568084716797,,,,,
5,,299,,0.4839029312133789,,,,,
5,,317,,,0.8117977380752563,0.8097893595695496,0.48306557536125183,0.8032070994377136,0.8232561349868774
5,,317,0.8307322859764099,,,,,,
,0.001,318,,,,,,,
6,,324,,0.4816490709781647,,,,,
6,,349,,0.5137896537780762,,,,,
6,,370,,,0.8286516666412354,0.8284539580345154,0.4359833002090454,0.824434220790863,0.8382100462913513
6,,370,0.8073229193687439,,,,,,
,0.001,371,,,,,,,
7,,374,,0.48298054933547974,,,,,
7,,399,,0.30068784952163696,,,,,
7,,423,,,0.8258426785469055,0.8233551979064941,0.4346308410167694,0.8157497644424438,0.8376647233963013
7,,423,0.8265306353569031,,,,,,
,0.001,424,,,,,,,
8,,424,,0.5388039946556091,,,,,
8,,449,,0.3680150806903839,,,,,
8,,474,,0.17260891199111938,,,,,
8,,476,,,0.8202247023582458,0.8225985169410706,0.4657360315322876,0.8220442533493042,0.8425523638725281
8,,476,0.8325330018997192,,,,,,
,0.001,477,,,,,,,
9,,499,,0.5439945459365845,,,,,
9,,524,,0.32691723108291626,,,,,
9,,529,,,0.8033707737922668,0.799048900604248,0.45724475383758545,0.7896920442581177,0.8175779581069946
9,,529,0.8247299194335938,,,,,,
,0.001,530,,,,,,,
10,,549,,0.38940900564193726,,,,,
10,,574,,0.5982615947723389,,,,,
10,,582,,,0.8258426785469055,0.8266385793685913,0.42887458205223083,0.8190901875495911,0.8444828987121582
10,,582,0.8355342149734497,,,,,,
,0.001,583,,,,,,,
11,,599,,0.5086942911148071,,,,,
11,,624,,0.49395886063575745,,,,,
11,,635,,,0.8286516666412354,0.8326151967048645,0.45876234769821167,0.8217698931694031,0.8548675179481506
11,,635,0.8331332802772522,,,,,,
,0.001,636,,,,,,,
12,,649,,0.5731659531593323,,,,,
12,,674,,0.6252192854881287,,,,,
12,,688,,,0.8398876190185547,0.8411027789115906,0.427967369556427,0.8350129127502441,0.8574110865592957
12,,688,0.8493397235870361,,,,,,
,0.001,689,,,,,,,
13,,699,,0.3358462452888489,,,,,
13,,724,,0.4094715118408203,,,,,
13,,741,,,0.8286516666412354,0.8273634314537048,0.44987955689430237,0.8226252794265747,0.8439412117004395
13,,741,0.8391356468200684,,,,,,
,0.001,742,,,,,,,
14,,749,,0.4556555449962616,,,,,
14,,774,,0.4237929582595825,,,,,
14,,794,,,0.834269642829895,0.8332881331443787,0.43060508370399475,0.8299249410629272,0.8468874096870422
14,,794,0.8397358655929565,,,,,,
,0.001,795,,,,,,,
15,,799,,0.41176867485046387,,,,,
15,,824,,0.5825006365776062,,,,,
15,,847,,,0.8483145833015442,0.8419581651687622,0.39625805616378784,0.8422994613647461,0.8427408337593079
15,,847,0.8535414338111877,,,,,,
,0.001,848,,,,,,,
16,,849,,0.19783622026443481,,,,,
16,,874,,0.5697938799858093,,,,,
16,,899,,0.24296477437019348,,,,,
16,,900,,,0.8202247023582458,0.8206043243408203,0.4519556760787964,0.8199276328086853,0.8387644290924072
16,,900,0.848139226436615,,,,,,
,0.001,901,,,,,,,
17,,924,,0.49170470237731934,,,,,
17,,949,,0.5650516152381897,,,,,
17,,953,,,0.8483145833015442,0.8463237285614014,0.4285830855369568,0.8403899669647217,0.8619510531425476
17,,953,0.8385354280471802,,,,,,
,0.001,954,,,,,,,
18,,974,,0.21698319911956787,,,,,
18,,999,,0.35071027278900146,,,,,
18,,1006,,,0.817415714263916,0.8160843849182129,0.45934316515922546,0.8148015737533569,0.8350204825401306
18,,1006,0.8709483742713928,,,,,,
,0.001,1007,,,,,,,
19,,1024,,0.5614193677902222,,,,,
19,,1049,,0.48254460096359253,,,,,
19,,1059,,,0.834269642829895,0.8402285575866699,0.45205122232437134,0.8334888219833374,0.8616545796394348
19,,1059,0.8421368598937988,,,,,,
,0.0001,1060,,,,,,,
20,,1074,,0.4123755693435669,,,,,
20,,1099,,0.38213568925857544,,,,,
20,,1112,,,0.8398876190185547,0.8397412300109863,0.4228145182132721,0.8327763676643372,0.855681836605072
20,,1112,0.8775510191917419,,,,,,
